TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%),Calculated engine load (%),IAT (Celsius),Throttle position (%)
1693757133.150589,918.0,39,0.86,0.0,18.823529411764707,38,8.627450980392158
1693757134.650628,913.0,39,0.82,0.0,17.647058823529413,38,8.627450980392158
1693757136.180949,916.0,42,0.775,0.0,20.3921568627451,38,8.627450980392158
1693757137.620678,938.0,41,0.815,0.0,18.823529411764707,38,8.627450980392158
1693757139.090397,938.0,41,0.82,0.0,20.3921568627451,38,8.627450980392158
1693757140.560642,921.0,41,0.725,0.0,20.3921568627451,38,8.627450980392158
1693757142.000759,920.0,41,0.54,-5.46875,18.823529411764707,38,8.627450980392158
1693757143.440778,904.0,41,0.055,0.0,20.3921568627451,38,8.627450980392158
1693757144.881136,924.0,41,0.82,-3.125,18.823529411764707,38,12.549019607843139
1693757146.320636,899.0,63,0.035,-0.78125,34.50980392156863,39,17.647058823529413
1693757147.791157,1389.0,68,0.1,4.6875,45.490196078431374,39,18.823529411764707
1693757149.291293,1871.0,59,0.825,0.0,45.490196078431374,39,24.705882352941178
1693757150.700694,2902.0,67,0.855,1.5625,17.647058823529413,39,8.627450980392158
1693757152.109839,3005.0,31,0.0,0.0,17.647058823529413,39,21.96078431372549
1693757153.579616,2030.0,73,0.6,2.34375,49.80392156862745,39,25.88235294117647
1693757155.08086,2554.0,76,0.835,3.125,55.294117647058826,39,28.23529411764706
1693757156.581011,3125.0,73,0.785,-2.34375,17.647058823529413,39,8.627450980392158
1693757158.110918,2812.0,32,0.005,1.5625,29.411764705882355,39,19.215686274509807
1693757159.610984,2133.0,58,0.37,6.25,34.50980392156863,39,12.549019607843139
1693757161.080952,2214.0,31,0.84,-6.25,17.647058823529413,39,14.901960784313726
1693757162.551288,2194.0,41,0.765,3.125,17.647058823529413,39,8.627450980392158
1693757163.991331,2104.0,28,0.045,3.125,17.647058823529413,39,14.901960784313726
1693757165.431168,1972.0,46,0.85,2.34375,26.666666666666668,39,18.823529411764707
1693757166.991243,2038.0,63,0.78,3.90625,43.529411764705884,39,22.35294117647059
1693757168.461262,2178.0,69,0.79,7.03125,49.80392156862745,39,27.450980392156865
1693757169.931384,2415.0,80,0.155,3.90625,47.450980392156865,39,29.80392156862745
1693757171.371027,2611.0,84,0.815,-1.5625,49.80392156862745,39,30.58823529411765
1693757172.810901,2846.0,84,0.83,-1.5625,55.294117647058826,40,30.98039215686275
1693757174.282109,3040.0,83,0.785,-7.8125,52.156862745098046,40,8.627450980392158
1693757175.751206,3218.0,27,0.04,0.0,17.647058823529413,40,14.11764705882353
1693757177.191415,2170.0,54,0.085,6.25,34.50980392156863,41,18.43137254901961
1693757178.661093,2222.0,57,0.745,-5.46875,34.50980392156863,41,18.43137254901961
1693757180.102622,2249.0,56,0.805,-4.6875,32.94117647058824,41,16.47058823529412
1693757181.573728,2264.0,33,0.895,-10.9375,17.647058823529413,40,8.627450980392158
1693757183.011464,2208.0,31,0.0,0.0,17.647058823529413,40,13.333333333333334
1693757184.481443,2123.0,40,0.04,3.90625,34.50980392156863,40,18.823529411764707
1693757185.951116,2118.0,50,0.875,-0.78125,21.96078431372549,40,8.627450980392158
1693757187.421027,3079.0,32,0.0,0.0,17.647058823529413,40,9.019607843137255
1693757188.831203,2690.0,37,0.0,0.0,18.823529411764707,40,15.686274509803923
1693757190.241905,2653.0,44,0.665,2.34375,20.3921568627451,40,10.588235294117649
1693757191.651387,2623.0,27,0.04,0.0,17.647058823529413,40,8.627450980392158
1693757193.151617,2490.0,29,0.0,0.0,17.647058823529413,40,8.627450980392158
1693757194.591835,2235.0,28,0.0,0.0,75.68627450980392,40,8.627450980392158
1693757196.061653,3112.0,28,0.0,0.0,17.647058823529413,40,8.627450980392158
1693757197.561254,2862.0,29,0.0,0.0,17.647058823529413,40,8.627450980392158
1693757199.001308,2428.0,28,0.0,0.0,17.647058823529413,40,8.627450980392158
1693757200.472157,2024.0,30,0.0,0.0,17.647058823529413,40,8.627450980392158
1693757201.911928,1578.0,36,0.025,2.34375,25.098039215686278,40,17.254901960784316
1693757203.322122,1602.0,62,0.655,10.15625,31.372549019607845,40,16.07843137254902
1693757204.732116,1792.0,54,0.765,-1.5625,31.372549019607845,40,18.823529411764707
1693757206.201689,2019.0,66,0.09,5.46875,45.490196078431374,40,24.705882352941178
1693757207.642013,2465.0,71,0.795,7.03125,45.490196078431374,40,27.058823529411768
1693757209.082008,2979.0,72,0.875,3.90625,17.647058823529413,40,8.627450980392158
1693757210.521935,2867.0,30,0.0,0.0,27.84313725490196,40,25.490196078431374
1693757212.021053,2080.0,78,0.165,7.8125,55.294117647058826,40,27.058823529411768
1693757213.46106,2338.0,77,0.745,-0.78125,57.64705882352941,39,27.058823529411768
1693757214.962361,2528.0,81,0.09,-0.78125,45.490196078431374,40,28.627450980392158
1693757216.432557,2690.0,82,0.7,-4.6875,49.80392156862745,40,21.568627450980394
1693757217.872565,2866.0,30,0.91,-12.5,17.647058823529413,40,8.627450980392158
1693757219.312179,2024.0,35,0.02,2.34375,34.50980392156863,40,20.0
1693757220.81251,2034.0,63,0.725,7.03125,38.43137254901961,40,20.784313725490197
1693757222.252386,2114.0,68,0.29,7.8125,45.490196078431374,40,23.137254901960787
1693757223.722601,2176.0,69,0.235,7.8125,45.490196078431374,40,23.137254901960787
1693757225.252492,2272.0,69,0.415,0.0,40.0,40,18.823529411764707
1693757226.752491,2338.0,47,0.89,-3.125,17.647058823529413,40,15.294117647058824
1693757228.252247,2338.0,44,0.095,3.90625,23.529411764705884,40,16.07843137254902
1693757229.692128,2345.0,46,0.64,-0.78125,18.823529411764707,39,8.627450980392158
1693757231.192748,2297.0,26,0.04,0.0,17.647058823529413,39,8.627450980392158
1693757232.632149,1974.0,89,0.015,0.0,17.647058823529413,39,8.627450980392158
1693757234.162156,2959.0,28,0.0,0.0,17.647058823529413,39,8.627450980392158
1693757235.632355,2739.0,28,0.0,0.0,17.647058823529413,40,8.627450980392158
1693757237.072887,2355.0,27,0.0,0.0,17.647058823529413,40,15.686274509803923
1693757238.483381,2263.0,55,0.795,4.6875,32.94117647058824,40,19.607843137254903
1693757240.0126,2324.0,62,0.43,7.03125,47.450980392156865,40,27.058823529411768
1693757241.453386,2487.0,83,0.175,3.90625,49.80392156862745,40,32.54901960784314
1693757242.893771,2720.0,87,0.255,4.6875,55.294117647058826,40,33.72549019607843
1693757244.332275,2971.0,83,0.875,0.78125,17.647058823529413,41,8.627450980392158
1693757245.802605,2613.0,29,0.0,0.0,21.96078431372549,41,23.92156862745098
1693757247.273214,2173.0,73,0.82,5.46875,52.156862745098046,41,25.490196078431374
1693757248.742382,2289.0,74,0.715,5.46875,49.80392156862745,40,25.490196078431374
1693757250.182929,2376.0,80,0.78,-4.6875,45.490196078431374,40,26.27450980392157
1693757251.622556,2460.0,79,0.155,-3.125,43.529411764705884,41,23.529411764705884
1693757253.034248,2531.0,69,0.71,4.6875,40.0,41,24.705882352941178
1693757254.503703,2604.0,76,0.85,-6.25,45.490196078431374,41,27.84313725490196
1693757255.974271,2670.0,81,0.1,1.5625,47.450980392156865,42,28.23529411764706
1693757257.443116,2762.0,75,0.785,-6.25,17.647058823529413,42,8.627450980392158
1693757258.913617,2485.0,27,0.0,0.0,18.823529411764707,42,18.03921568627451
1693757260.353688,2207.0,55,0.855,3.125,31.372549019607845,42,18.03921568627451
1693757261.8829,2220.0,55,0.79,-3.125,36.47058823529412,42,20.784313725490197
1693757263.323079,2256.0,63,0.45,-3.90625,40.0,42,21.176470588235297
1693757264.793335,2294.0,64,0.83,-2.34375,41.96078431372549,41,21.96078431372549
1693757266.203631,2330.0,65,0.25,-4.6875,41.96078431372549,41,20.3921568627451
1693757267.672843,2367.0,49,0.915,-5.46875,17.647058823529413,41,8.627450980392158
1693757269.113396,2123.0,29,0.0,1.5625,17.647058823529413,40,8.627450980392158
1693757270.583119,1354.0,37,0.865,-2.34375,18.823529411764707,40,8.627450980392158
1693757272.022743,990.0,46,0.055,-1.5625,21.96078431372549,40,8.627450980392158
1693757273.552185,1022.0,46,0.62,-6.25,21.96078431372549,40,8.627450980392158
1693757275.023147,1031.0,46,0.835,-2.34375,21.96078431372549,40,8.627450980392158
1693757276.46334,980.0,47,0.08,0.78125,21.96078431372549,40,8.627450980392158
1693757277.932849,999.0,47,0.08,-3.125,21.96078431372549,40,8.627450980392158
1693757279.373513,981.0,47,0.765,-4.6875,23.529411764705884,40,8.627450980392158
1693757280.843341,974.0,47,0.835,-0.78125,23.529411764705884,40,8.627450980392158
1693757282.283111,978.0,43,0.84,-3.125,20.3921568627451,40,8.627450980392158
1693757283.783491,902.0,44,0.05,-1.5625,21.96078431372549,40,8.627450980392158
1693757285.25356,957.0,94,0.885,0.0,34.90196078431373,40,8.627450980392158
1693757286.724344,3033.0,27,0.86,0.0,29.80392156862745,39,8.627450980392158
1693757288.163775,3492.0,25,0.885,0.0,17.647058823529413,39,8.627450980392158
1693757289.633225,2188.0,39,0.93,2.34375,17.647058823529413,39,8.627450980392158
1693757291.10294,2918.0,28,0.04,3.125,94.90196078431373,39,90.98039215686275
1693757292.603316,3996.0,93,0.815,-0.78125,84.31372549019608,39,90.98039215686275
1693757294.042981,4664.0,93,0.875,0.0,84.31372549019608,39,90.98039215686275
1693757295.484171,6510.0,28,0.03,0.0,17.647058823529413,39,13.725490196078432
1693757296.953822,3962.0,93,0.07,1.5625,94.90196078431373,39,90.98039215686275
1693757298.393758,4817.0,93,0.86,0.0,86.66666666666667,38,90.98039215686275
1693757299.833499,5643.0,93,0.885,0.0,84.31372549019608,37,90.98039215686275
1693757301.304214,6383.0,92,0.14,0.0,17.647058823529413,37,8.627450980392158
1693757302.774286,4690.0,23,0.895,1.5625,94.90196078431373,37,90.98039215686275
1693757304.273717,4435.0,93,0.47,-3.125,96.86274509803923,36,90.98039215686275
1693757305.743411,4792.0,93,0.88,0.0,89.41176470588236,36,90.98039215686275
1693757307.21342,5088.0,93,0.865,0.0,86.66666666666667,36,90.98039215686275
1693757308.713382,5396.0,93,0.87,0.0,84.70588235294119,35,90.98039215686275
1693757310.15338,5682.0,93,0.87,0.0,84.31372549019608,35,90.98039215686275
1693757311.593763,5924.0,92,0.87,0.0,84.31372549019608,34,90.98039215686275
1693757313.09375,6173.0,92,0.87,0.0,81.5686274509804,34,90.98039215686275
1693757314.564639,6367.0,92,0.86,0.0,77.64705882352942,33,88.62745098039217
1693757316.064504,6383.0,25,0.0,0.0,17.647058823529413,33,90.98039215686275
1693757317.504166,4679.0,93,0.85,0.0,94.90196078431373,34,90.98039215686275
1693757318.943989,4738.0,23,0.865,-11.71875,17.647058823529413,34,11.764705882352942
1693757320.41422,3748.0,28,0.07,3.125,17.647058823529413,34,18.43137254901961
1693757321.854058,3700.0,50,0.78,0.78125,36.47058823529412,35,23.137254901960787
1693757323.324091,3666.0,24,0.82,-12.5,17.647058823529413,35,18.43137254901961
1693757324.793913,3599.0,32,0.765,-8.59375,17.647058823529413,35,8.627450980392158
1693757326.264082,3500.0,23,0.0,0.0,17.647058823529413,36,13.333333333333334
1693757327.763756,3380.0,30,0.0,1.5625,17.647058823529413,36,8.627450980392158
1693757329.234238,3282.0,25,0.0,0.0,17.647058823529413,36,12.941176470588236
1693757330.734354,3177.0,32,0.01,1.5625,17.647058823529413,37,14.50980392156863
1693757332.174622,3119.0,37,0.115,2.34375,18.823529411764707,37,9.803921568627452
1693757333.614448,3057.0,35,0.045,3.125,23.529411764705884,37,14.11764705882353
1693757335.084251,3006.0,35,0.045,-0.78125,23.529411764705884,37,16.47058823529412
1693757336.554179,2967.0,46,0.12,3.125,27.84313725490196,37,18.03921568627451
1693757338.024363,2941.0,53,0.745,-2.34375,29.411764705882355,37,19.607843137254903
1693757339.493619,2934.0,56,0.83,-3.125,32.94117647058824,37,20.3921568627451
1693757340.963863,2922.0,58,0.66,0.0,32.94117647058824,37,20.3921568627451
1693757342.434306,2914.0,58,0.08,1.5625,34.50980392156863,37,20.784313725490197
1693757343.903859,2915.0,59,0.2,0.78125,34.50980392156863,37,20.784313725490197
1693757345.374452,2910.0,59,0.78,-1.5625,32.94117647058824,37,20.784313725490197
1693757346.903956,2898.0,60,0.805,0.0,34.50980392156863,37,21.568627450980394
1693757348.375115,2902.0,62,0.725,-0.78125,36.47058823529412,37,21.96078431372549
1693757349.84397,2907.0,62,0.245,1.5625,36.47058823529412,37,22.35294117647059
1693757351.313898,2914.0,61,0.72,0.0,38.43137254901961,37,22.745098039215687
1693757352.814645,2914.0,62,0.305,2.34375,40.0,37,22.745098039215687
1693757354.314838,2926.0,62,0.125,3.125,40.0,37,23.137254901960787
1693757355.754993,2938.0,62,0.49,5.46875,40.0,37,23.137254901960787
1693757357.255166,2940.0,62,0.82,1.5625,40.0,36,23.137254901960787
1693757358.724664,2948.0,61,0.145,2.34375,40.0,36,22.745098039215687
1693757360.193543,2953.0,64,0.095,1.5625,38.43137254901961,36,22.745098039215687
1693757361.664313,2967.0,64,0.18,1.5625,38.43137254901961,36,22.745098039215687
1693757363.134176,2961.0,63,0.13,3.125,38.43137254901961,36,22.745098039215687
1693757364.607037,2969.0,63,0.605,4.6875,38.43137254901961,36,22.745098039215687
1693757366.104789,2974.0,63,0.74,0.0,38.43137254901961,36,22.745098039215687
1693757367.544183,2974.0,63,0.625,-0.78125,38.43137254901961,36,22.745098039215687
1693757368.984947,2982.0,63,0.425,-0.78125,38.43137254901961,36,22.745098039215687
1693757370.484626,2984.0,63,0.095,3.125,38.43137254901961,36,22.745098039215687
1693757371.924911,2979.0,62,0.225,2.34375,38.43137254901961,36,20.784313725490197
1693757373.395366,2983.0,49,0.88,-3.90625,17.647058823529413,36,8.627450980392158
1693757374.924763,2914.0,29,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757376.365242,2782.0,29,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757377.804454,2598.0,29,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757379.244381,2436.0,29,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757380.684455,2304.0,28,0.0,0.0,70.58823529411765,36,8.627450980392158
1693757382.184963,2759.0,31,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757383.625258,2641.0,29,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757385.125404,2474.0,28,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757386.595146,2342.0,28,0.0,0.0,75.68627450980392,36,8.627450980392158
1693757388.065247,3034.0,28,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757389.535279,2874.0,28,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757390.975117,2637.0,29,0.0,0.0,17.647058823529413,36,14.11764705882353
1693757392.445159,2483.0,40,0.06,7.8125,18.823529411764707,37,14.901960784313726
1693757393.88493,2489.0,41,0.72,10.9375,21.96078431372549,37,19.215686274509807
1693757395.415939,2475.0,64,0.205,9.375,36.47058823529412,37,24.31372549019608
1693757396.854997,2634.0,74,0.875,0.0,45.490196078431374,37,26.27450980392157
1693757398.295014,2783.0,78,0.825,-2.34375,52.156862745098046,37,28.23529411764706
1693757399.794856,2983.0,78,0.795,-2.34375,52.156862745098046,37,8.627450980392158
1693757401.265548,3018.0,28,0.01,0.0,17.647058823529413,37,20.3921568627451
1693757402.705683,2210.0,68,0.045,11.71875,47.450980392156865,37,24.31372549019608
1693757404.175218,2296.0,73,0.795,17.1875,47.450980392156865,37,20.784313725490197
1693757405.616643,2366.0,64,0.125,11.71875,38.43137254901961,37,21.96078431372549
1693757407.05657,2416.0,72,0.81,11.71875,45.490196078431374,37,25.490196078431374
1693757408.556687,2491.0,79,0.08,6.25,36.47058823529412,37,17.647058823529413
1693757410.085229,2518.0,56,0.245,10.9375,38.43137254901961,37,21.176470588235297
1693757411.52792,2560.0,64,0.835,11.71875,36.47058823529412,37,21.568627450980394
1693757412.996128,2605.0,62,0.815,11.71875,31.372549019607845,37,20.3921568627451
1693757414.464311,2639.0,61,0.81,10.15625,34.50980392156863,37,20.784313725490197
1693757415.964251,2670.0,62,0.82,11.71875,34.50980392156863,37,21.176470588235297
1693757417.435169,2716.0,63,0.825,11.71875,34.50980392156863,37,21.568627450980394
1693757418.90519,2751.0,62,0.83,11.71875,36.47058823529412,36,21.568627450980394
1693757420.412034,2792.0,52,0.625,11.71875,17.647058823529413,36,10.980392156862745
1693757421.84548,2772.0,36,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757423.318369,2648.0,30,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757424.756019,2538.0,29,0.0,0.0,17.647058823529413,36,13.725490196078432
1693757426.255771,2392.0,40,0.045,6.25,21.96078431372549,36,14.901960784313726
1693757427.755839,2422.0,43,0.76,10.9375,23.529411764705884,36,15.294117647058824
1693757429.195406,2414.0,45,0.75,10.15625,25.098039215686278,36,15.686274509803923
1693757430.725318,2413.0,46,0.845,10.15625,17.647058823529413,36,8.627450980392158
1693757432.165347,2264.0,91,0.92,0.0,17.647058823529413,36,8.627450980392158
1693757433.605203,3142.0,27,0.0,0.0,17.647058823529413,36,9.019607843137255
1693757435.075619,2933.0,35,0.035,3.125,20.3921568627451,36,18.823529411764707
1693757436.515305,2916.0,52,0.11,14.0625,36.47058823529412,36,25.88235294117647
1693757437.926229,3021.0,78,0.85,14.0625,52.156862745098046,36,30.58823529411765
1693757439.39547,3233.0,81,0.095,13.28125,55.294117647058826,36,46.66666666666667
1693757440.835715,3471.0,93,0.875,13.28125,86.66666666666667,37,65.09803921568628
1693757442.305612,3825.0,89,0.83,0.0,81.5686274509804,36,8.627450980392158
1693757443.745615,3902.0,23,0.0,0.0,17.647058823529413,36,12.941176470588236
1693757445.12544,2866.0,44,0.085,7.03125,27.84313725490196,36,18.03921568627451
1693757446.595484,2825.0,54,0.09,13.28125,27.84313725490196,36,18.03921568627451
1693757448.096012,2851.0,53,0.675,7.8125,27.84313725490196,36,20.3921568627451
1693757449.595473,2869.0,65,0.19,10.9375,41.96078431372549,36,24.31372549019608
1693757451.03607,2947.0,69,0.17,11.71875,41.96078431372549,36,18.03921568627451
1693757452.536216,2994.0,31,0.885,7.8125,17.647058823529413,36,8.627450980392158
1693757454.006179,2288.0,30,0.0,0.0,18.823529411764707,36,15.686274509803923
1693757455.416148,2361.0,47,0.09,10.9375,26.666666666666668,36,16.47058823529412
1693757456.825604,2373.0,49,0.7,13.28125,26.666666666666668,36,14.901960784313726
1693757458.325744,2381.0,42,0.795,7.8125,20.3921568627451,36,13.725490196078432
1693757459.795499,2371.0,38,0.52,5.46875,17.647058823529413,36,8.627450980392158
1693757461.295526,2328.0,29,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757462.765808,2123.0,28,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757464.26693,1849.0,32,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757465.735948,1551.0,38,0.0,1.5625,25.098039215686278,36,8.627450980392158
1693757467.175784,1361.0,38,0.05,5.46875,17.647058823529413,36,8.627450980392158
1693757468.61695,1376.0,35,0.785,7.03125,17.647058823529413,36,8.627450980392158
1693757470.086311,1882.0,42,0.04,2.34375,21.96078431372549,36,18.43137254901961
1693757471.526939,1912.0,65,0.055,7.8125,41.96078431372549,36,20.3921568627451
1693757472.996476,2083.0,63,0.1,15.625,40.0,36,21.176470588235297
1693757474.465214,2246.0,72,0.295,12.5,52.156862745098046,36,26.27450980392157
1693757475.936688,2488.0,82,0.865,10.15625,43.529411764705884,35,27.058823529411768
1693757477.406116,2649.0,79,0.345,13.28125,47.450980392156865,36,27.058823529411768
1693757478.935899,2850.0,76,0.105,7.03125,49.80392156862745,36,12.549019607843139
1693757480.375962,2999.0,28,0.84,-1.5625,17.647058823529413,36,8.627450980392158
1693757481.845911,2067.0,47,0.03,3.90625,43.529411764705884,36,22.745098039215687
1693757483.28659,2113.0,70,0.145,17.96875,47.450980392156865,36,23.92156862745098
1693757484.786266,2183.0,74,0.155,14.84375,52.156862745098046,36,25.098039215686278
1693757486.256594,2263.0,75,0.14,12.5,49.80392156862745,36,25.490196078431374
1693757487.729129,2344.0,75,0.1,13.28125,43.529411764705884,35,23.529411764705884
1693757489.136201,2405.0,75,0.85,3.90625,45.490196078431374,35,23.92156862745098
1693757490.575918,2460.0,73,0.075,5.46875,43.529411764705884,36,23.92156862745098
1693757492.046126,2518.0,72,0.635,1.5625,41.96078431372549,36,23.92156862745098
1693757493.48719,2548.0,71,0.83,6.25,41.96078431372549,36,23.92156862745098
1693757494.986126,2613.0,70,0.575,11.71875,40.0,36,23.92156862745098
1693757496.456404,2683.0,69,0.105,10.9375,40.0,36,23.529411764705884
1693757497.926165,2741.0,67,0.095,11.71875,40.0,36,23.529411764705884
1693757499.366889,2795.0,67,0.155,9.375,40.0,36,23.137254901960787
1693757500.837295,2856.0,66,0.75,7.8125,40.0,36,17.647058823529413
1693757502.276602,2875.0,30,0.875,0.78125,17.647058823529413,36,8.627450980392158
1693757503.807083,2268.0,33,0.0,1.5625,21.96078431372549,36,18.43137254901961
1693757505.246494,2241.0,63,0.13,13.28125,41.96078431372549,36,21.568627450980394
1693757506.656208,2261.0,66,0.625,8.59375,40.0,36,20.0
1693757508.126294,2280.0,53,0.765,7.8125,29.411764705882355,36,17.647058823529413
1693757509.596467,2280.0,53,0.57,7.8125,31.372549019607845,36,17.647058823529413
1693757511.036394,2280.0,53,0.225,10.9375,31.372549019607845,36,17.647058823529413
1693757512.506663,2269.0,53,0.11,10.9375,31.372549019607845,36,17.647058823529413
1693757513.946586,2256.0,54,0.09,10.9375,32.94117647058824,35,18.43137254901961
1693757515.417004,2233.0,56,0.155,11.71875,36.47058823529412,35,20.0
1693757516.916976,2208.0,61,0.285,11.71875,36.47058823529412,35,19.607843137254903
1693757518.327332,2187.0,60,0.13,12.5,36.47058823529412,35,19.607843137254903
1693757519.766403,2196.0,60,0.13,12.5,36.47058823529412,35,19.607843137254903
1693757521.206461,2234.0,58,0.195,10.15625,31.372549019607845,35,18.03921568627451
1693757522.616601,2283.0,54,0.75,7.8125,31.372549019607845,35,18.03921568627451
1693757524.116597,2316.0,53,0.795,8.59375,31.372549019607845,35,18.43137254901961
1693757525.586698,2350.0,53,0.63,14.84375,26.666666666666668,35,16.47058823529412
1693757527.057881,2342.0,51,0.285,11.71875,26.666666666666668,35,16.47058823529412
1693757528.497281,2337.0,50,0.885,11.71875,17.647058823529413,35,14.901960784313726
1693757529.997136,2311.0,48,0.705,11.71875,27.84313725490196,35,16.862745098039216
1693757531.467044,2292.0,48,0.795,7.8125,18.823529411764707,35,8.627450980392158
1693757532.937112,2267.0,27,0.07,0.0,17.647058823529413,34,18.03921568627451
1693757534.43684,2220.0,58,0.085,8.59375,36.47058823529412,34,20.784313725490197
1693757535.907881,2235.0,65,0.825,11.71875,43.529411764705884,34,24.31372549019608
1693757537.347618,2267.0,74,0.215,15.625,49.80392156862745,34,25.098039215686278
1693757538.817032,2325.0,75,0.23,14.0625,52.156862745098046,34,25.88235294117647
1693757540.347332,2355.0,81,0.105,10.9375,45.490196078431374,34,26.666666666666668
1693757541.81693,2356.0,82,0.785,4.6875,49.80392156862745,35,28.23529411764706
1693757543.316971,2347.0,86,0.735,12.5,52.156862745098046,35,32.94117647058824
1693757544.817206,2338.0,89,0.745,-1.5625,57.64705882352941,36,34.90196078431373
1693757546.287589,2321.0,90,0.83,-2.34375,60.00000000000001,36,35.294117647058826
1693757547.727127,2299.0,90,0.535,1.5625,60.00000000000001,36,35.294117647058826
1693757549.168111,2288.0,90,0.085,-0.78125,60.00000000000001,36,35.294117647058826
1693757550.607391,2275.0,90,0.3,-2.34375,60.00000000000001,36,35.294117647058826
1693757552.047062,2249.0,90,0.79,-3.90625,60.00000000000001,37,35.294117647058826
1693757553.487043,2248.0,89,0.055,3.90625,65.49019607843138,37,18.43137254901961
1693757554.987252,2254.0,42,0.565,-7.03125,32.94117647058824,37,20.3921568627451
1693757556.427204,2239.0,63,0.575,0.0,41.96078431372549,37,22.35294117647059
1693757557.927131,2280.0,67,0.795,0.78125,43.529411764705884,36,22.35294117647059
1693757559.36774,2337.0,73,0.9,0.78125,40.0,36,22.35294117647059
1693757560.867597,2413.0,68,0.18,2.34375,40.0,36,22.35294117647059
1693757562.367177,2515.0,67,0.105,0.78125,38.43137254901961,36,22.35294117647059
1693757563.807943,2596.0,67,0.125,-0.78125,38.43137254901961,36,22.35294117647059
1693757565.277963,2672.0,60,0.83,-5.46875,17.647058823529413,36,13.725490196078432
1693757566.717229,2719.0,43,0.04,-4.6875,21.96078431372549,36,16.07843137254902
1693757568.157581,2693.0,47,0.6,-4.6875,25.098039215686278,36,16.862745098039216
1693757569.62757,2683.0,48,0.785,-3.125,26.666666666666668,36,16.862745098039216
1693757571.067547,2669.0,49,0.835,-0.78125,26.666666666666668,36,17.254901960784316
1693757572.507498,2645.0,38,0.895,-4.6875,17.647058823529413,36,8.627450980392158
1693757574.007521,2562.0,29,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757575.507528,2463.0,28,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757577.007237,2349.0,27,0.0,1.5625,57.64705882352941,35,8.627450980392158
1693757578.477544,2777.0,30,0.0,0.0,17.647058823529413,35,8.627450980392158
1693757579.977697,2494.0,28,0.0,0.0,17.647058823529413,35,8.627450980392158
1693757581.509415,1947.0,29,0.0,0.0,17.647058823529413,35,8.627450980392158
1693757582.948142,1081.0,52,0.02,3.125,40.0,35,8.627450980392158
1693757584.448286,921.0,58,0.055,7.03125,31.372549019607845,35,8.627450980392158
1693757585.888214,1018.0,53,0.79,6.25,26.666666666666668,35,8.627450980392158
1693757587.328139,1077.0,49,0.815,4.6875,23.529411764705884,35,8.627450980392158
1693757588.797551,1025.0,49,0.09,6.25,23.529411764705884,35,8.627450980392158
1693757590.327857,1119.0,40,0.88,-2.34375,17.647058823529413,35,8.627450980392158
1693757591.799303,900.0,41,0.035,7.03125,17.647058823529413,35,8.627450980392158
1693757593.268989,943.0,38,0.86,-0.78125,18.823529411764707,35,8.627450980392158
1693757594.707987,906.0,39,0.08,8.59375,17.647058823529413,35,8.627450980392158
