Min Radius,Median Radius,Distance traveled,Median Speed,Min Deceleration,Max Centrifugal,Median Centrifugal,Max Rise/Run,Median Rise/Run,Category,Entry Speed,Exit Speed,Decelerated Speed,Accelerated Speed,Min Engine Load,Max Engine Load,Median Engine Load,MAPE ANN,RMSE ANN,MSE ANN,MAE ANN,MAPE RF,RMSE RF,MSE RF,MAE RF,Corner sum absolute error ANN,Corner sum relative error ANN,Corner sum absolute error RF,Corner sum relative error RF
True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,34.82,5.900585,34.816895,3.227366,269914281890426.656250,5.217158,27.218737,3.717740,49.946452,0.12737441,4.236298,0.01080349
True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,29.50,5.431677,29.503111,3.269324,269914281890426.656250,5.217158,27.218737,3.717740,50.456888,0.12867613,4.236298,0.01080349
True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,40.89,6.394605,40.890976,3.661694,269914281890426.656250,5.217158,27.218737,3.717740,39.845108,0.10161377,4.236298,0.01080349
True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,44.85,6.696942,44.849026,3.755559,269914281890426.656250,5.217158,27.218737,3.717740,5.092474,0.01298693,4.236298,0.01080349
True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,43.02,6.559248,43.023743,3.771953,269914281890426.656250,5.217158,27.218737,3.717740,6.645560,0.01694764,4.236298,0.01080349
True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,27.06,5.201529,27.055899,3.154308,175243782548452.343750,5.190276,26.938964,3.378509,37.608589,0.09591015,30.931863,0.07888304
True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,27.63,5.256327,27.628969,3.159226,175243782548452.343750,5.190276,26.938964,3.378509,24.308877,0.06199297,30.931863,0.07888304
True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,47.11,6.863948,47.113785,4.243655,175243782548452.343750,5.190276,26.938964,3.378509,55.705168,0.14206040,30.931863,0.07888304
True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,33.70,5.804953,33.697479,3.237310,175243782548452.343750,5.190276,26.938964,3.378509,74.771729,0.19068431,30.931863,0.07888304
True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,32.48,5.699344,32.482521,3.054419,175243782548452.343750,5.190276,26.938964,3.378509,7.916814,0.02018961,30.931863,0.07888304
True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,18.29,4.276281,18.286581,2.744349,259854777942144.500000,4.328956,18.739863,3.131678,4.291011,0.01094302,5.754786,0.01467597
True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,22.01,4.691084,22.006271,2.976432,259854777942144.500000,4.328956,18.739863,3.131678,10.110568,0.02578417,5.754786,0.01467597
True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,14.44,3.800562,14.444268,2.459289,259854777942144.500000,4.328956,18.739863,3.131678,27.713074,0.07067442,5.754786,0.01467597
True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,19.89,4.459941,19.891073,2.813548,259854777942144.500000,4.328956,18.739863,3.131678,5.001235,0.01275425,5.754786,0.01467597
True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,28.98,5.382886,28.975464,3.137389,259854777942144.500000,4.328956,18.739863,3.131678,3.096196,0.00789598,5.754786,0.01467597
True,True,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,22.60,4.754183,22.602257,3.483515,200430268806550.281250,5.196718,27.005879,3.811307,21.626951,0.05515347,2.547969,0.00649788
True,True,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,16.25,4.030917,16.248295,2.763724,200430268806550.281250,5.196718,27.005879,3.811307,26.882322,0.06855582,2.547969,0.00649788
True,True,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,22.44,4.736755,22.436852,2.574885,200430268806550.281250,5.196718,27.005879,3.811307,5.037966,0.01284792,2.547969,0.00649788
True,True,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,18.68,4.321953,18.679279,2.776508,200430268806550.281250,5.196718,27.005879,3.811307,26.210524,0.06684259,2.547969,0.00649788
True,True,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,16.68,4.084568,16.683699,2.705354,200430268806550.281250,5.196718,27.005879,3.811307,4.713562,0.01202062,2.547969,0.00649788
True,True,True,False,True,False,True,False,True,False,False,False,False,True,True,True,True,5.91,2.430404,5.906864,1.709279,176438273324611.125000,3.583418,12.840881,2.671368,8.535773,0.02176809,31.004612,0.07906856
True,True,True,False,True,False,True,False,True,False,False,False,False,True,True,True,True,6.44,2.537637,6.439602,1.916891,176438273324611.125000,3.583418,12.840881,2.671368,0.241699,0.00061639,31.004612,0.07906856
True,True,True,False,True,False,True,False,True,False,False,False,False,True,True,True,True,4.16,2.038700,4.156300,1.469645,176438273324611.125000,3.583418,12.840881,2.671368,1.183526,0.00301825,31.004612,0.07906856
True,True,True,False,True,False,True,False,True,False,False,False,False,True,True,True,True,7.85,2.801117,7.846256,2.053572,176438273324611.125000,3.583418,12.840881,2.671368,7.850450,0.02002037,31.004612,0.07906856
True,True,True,False,True,False,True,False,True,False,False,False,False,True,True,True,True,5.01,2.239006,5.013149,1.754589,176438273324611.125000,3.583418,12.840881,2.671368,8.258271,0.02106040,31.004612,0.07906856
False,False,True,False,True,False,True,False,True,True,False,False,False,True,True,True,True,8.45,2.906307,8.446624,1.972701,168557316589015.937500,4.145582,17.185847,3.112069,40.262744,0.10267883,11.137384,0.02840277
False,False,True,False,True,False,True,False,True,True,False,False,False,True,True,True,True,10.73,3.275758,10.730591,2.508695,168557316589015.937500,4.145582,17.185847,3.112069,30.003692,0.07651600,11.137384,0.02840277
False,False,True,False,True,False,True,False,True,True,False,False,False,True,True,True,True,10.66,3.265679,10.664657,2.312077,168557316589015.937500,4.145582,17.185847,3.112069,65.349637,0.16665591,11.137384,0.02840277
False,False,True,False,True,False,True,False,True,True,False,False,False,True,True,True,True,12.87,3.587705,12.871629,2.353260,168557316589015.937500,4.145582,17.185847,3.112069,45.359756,0.11567733,11.137384,0.02840277
False,False,True,False,True,False,True,False,True,True,False,False,False,True,True,True,True,12.29,3.506403,12.294864,2.613488,168557316589015.937500,4.145582,17.185847,3.112069,11.520290,0.02937927,11.137384,0.02840277
True,True,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,7.01,2.648100,7.012431,1.855835,107868844449020.281250,3.397441,11.542606,2.559289,2.251614,0.00574211,9.635265,0.02457204
True,True,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,4.95,2.223970,4.946044,1.739355,107868844449020.281250,3.397441,11.542606,2.559289,5.850285,0.01491951,9.635265,0.02457204
True,True,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,9.45,3.073505,9.446432,2.288178,107868844449020.281250,3.397441,11.542606,2.559289,4.525734,0.01154161,9.635265,0.02457204
True,True,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,9.36,3.059288,9.359242,2.390259,107868844449020.281250,3.397441,11.542606,2.559289,7.438791,0.01897055,9.635265,0.02457204
True,True,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,7.96,2.820946,7.957737,2.042366,107868844449020.281250,3.397441,11.542606,2.559289,14.309378,0.03649205,9.635265,0.02457204
True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,9.07,3.012177,9.073211,2.326283,344007367695662.000000,3.747532,14.043999,2.726249,9.473459,0.02415940,0.254810,0.00064982
True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,9.48,3.079128,9.481029,2.239499,344007367695662.000000,3.747532,14.043999,2.726249,16.005515,0.04081757,0.254810,0.00064982
True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,9.10,3.016807,9.101126,2.447320,344007367695662.000000,3.747532,14.043999,2.726249,6.944977,0.01771121,0.254810,0.00064982
True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,9.30,3.050322,9.304466,2.249226,344007367695662.000000,3.747532,14.043999,2.726249,7.699847,0.01963630,0.254810,0.00064982
True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,9.92,3.149821,9.921371,2.544933,344007367695662.000000,3.747532,14.043999,2.726249,11.062907,0.02821284,0.254810,0.00064982
True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,75.93,8.713968,75.933228,5.140563,765947802514115.250000,5.894559,34.745828,4.304996,29.450701,0.07510575,46.530538,0.11866308
True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,47.23,6.872515,47.231464,4.868736,765947802514115.250000,5.894559,34.745828,4.304996,35.269889,0.08994595,46.530538,0.11866308
True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,45.16,6.720444,45.164375,4.569426,765947802514115.250000,5.894559,34.745828,4.304996,45.781992,0.11675412,46.530538,0.11866308
True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,45.81,6.768080,45.806911,4.665073,765947802514115.250000,5.894559,34.745828,4.304996,4.937281,0.01259115,46.530538,0.11866308
True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,55.45,7.446160,55.445293,4.895311,765947802514115.250000,5.894559,34.745828,4.304996,9.639077,0.02458176,46.530538,0.11866308
